index,sentence
2_191,감기 조심해야겠어요.
2_132,봉사해 보셨나요?
2_36,맹물 좋아함.
2_19,생각보다 많음.
2_85,뭘 먹어?
2_232,십만 원짜리야.
2_223,동물 좋아하세요?
2_92,치킨도 맛있죠.
2_80,어떤 약속인가요?
2_207,곧 점심시간이네요.
3_102,어떤 요리 좋아하세요?
3_179,저는 녹차 좋아해요.
3_116,저는 샌드위치 먹었어요.
3_112,나 일본어 몰라.
3_297,그럭저럭 돌아다닐 만해요!
3_218,일반적인 생크림 있잖아요.
3_23,좋아하는 음원 있나요?
3_61,디즈니 영화 좋아해서요.
3_171,좋아하는 가수 있으신가요?
3_199,한창 이쁠 때네요.
4_78,진짜 받아주는 사람도 착하다.
4_118,벌써 죽을 수 없어.
4_173,이제는 슬슬 무더위 시즌일듯하네요.
4_80,적당히 소음이 있어야 해요.
4_199,그때 뭐 사서 오셨나요?
4_84,다이어트할 때 많이 드시더라고요.
4_66,근데 나보다 일찍 입사했지.
4_35,너 건강검진 주기적으로 받음?
4_263,가고 싶은 데는 많죠.
4_225,한참 외모에 관심이 많으시겠네요?
5_30,저도 집밥 먹고 만두도 먹었어요.
5_238,요즘 즐겨 하는 취미 있으신가요?
5_34,나도 만화책만 읽은 지 오래됐어.
5_289,근데 고기는 확실히 에어프라이어기가 낫더라고요.
5_141,이럴 때라도 일상적인 대화하는 거지.
5_117,옆에 분들은 불편하실 수 있겠어요.
5_95,가족들이랑 같이 사니까 복작복작하고 좋죠.
5_209,우리의 추억이 깃든 여행지들도 심하겠지?
5_38,우리 동네는 비 소식 있더라고요.
5_32,제가 정상이 아닌 걸로 하죠.
