index,sentence
2_257,요즘엔 어때?
2_10,야채만 먹었니?
2_287,이름 들어봤어요!
2_96,점점 줄여야죠.
2_226,매우 귀엽다.
2_45,저도 틀어야겠어요.
2_67,카페도 좋아하세요?
2_7,비리지는 않았나요?
2_136,대식가라 아쉽네요.
2_173,다들 조심하세요.
3_281,비용이 많이 들더라고요.
3_121,돈나무도 키우고 있고요.
3_247,분위기를 좋아하는 건가?
3_220,아직은 계획에 없어요.
3_245,내일 드디어 금요일이네요.
3_167,방금까지 일하고 왔어요.
3_287,뮤지컬은 조금 가봤어요.
3_265,누구 콘서트가 보셨어요?
3_289,어떤 운동 하세요?
3_235,뭐 하고 지냈어?
4_218,오늘 하루도 수고 많으셨어요!
4_62,하는 건 너무 힘들죠.
4_259,능력만 된다면 하고 싶네요.
4_167,나 팝콘 꺼내와도 돼?
4_172,진짜 사마귀가 엄청 컸어.
4_253,단체 매표소 줄도 길겠어요.
4_205,너 그런 식으로 나올래?
4_238,일주일에 몇 번 드시나요?
4_227,진짜 개선할 필요성이 있음.
4_281,올겨울쯤에는 먹을 수 있을까요?
5_44,대학원 학비도 많이 지원되고 그렇잖아요?
5_48,그래도 건강 챙기는 게 대단해요.
5_52,오프라인에서 보고 온라인으로 사고 있어요.
5_179,근데 많이 보러 다니진 못했어요.
5_125,지금 에어컨을 틀까 말까 고민되네요.
5_143,저녁 되니 더 바람이 차네요.
5_5,요즘 비가 너무 많이 와요.
5_282,디저트 만들고 이런 건 없었나요?
5_248,지금도 한 잔 마시고 있어요.
5_86,전 이제 돌이킬 수 없어요.
