index,sentence
1_6,궁금하네?
1_27,있으신가요?
1_141,날씨는?
1_196,사과하세요.
1_260,응원할게요!
2_56,엄마 뭐해?
2_65,올림픽 보셨어요?
2_105,검색해 봐야겠네요.
3_21,물론 지금도 젊지만요.
3_45,어떤 아이돌 좋아하셨나요?
3_49,저는 보기만 했어요.
3_78,이건 제목이 가물가물하네요.
3_94,자리를 만들란 말이야!
3_97,이틀 너무 길잖아요.
3_204,공연이나 전시 좋아하시나요?
3_275,바로 마음에 드셨나요?
4_38,저는 어제 스크린골프를 쳤어요.
4_71,저는 1초도 안 하니까요.
4_89,붓기는 엄청나게 붓긴 하더라고요.
4_122,강아지는 존재만으로도 행복을 주네요.
4_130,책 읽으시는 거 있으세요?
4_171,저는 지금 고민 중이에요.
4_212,아이가 좋아할 것 같아요.
4_256,가을 날씨가 지속되면 좋겠네요.
4_264,쇼핑하러 어디로 주로 나가시나요?
4_273,쇼핑 주로 어디서 하세요?
5_25,지금은 비도 안 오고 좋네요.
5_90,가장 최근에 쇼핑하신 거는 뭐예요?
5_129,오늘 하루도 잘 보내시길 바랍니다!
5_149,제일 기억에 남는 여행지 있으세요?
5_158,오늘 다들 산책 어떻게 했어?
5_235,그렇게 비싼 건 아닐 수도?
5_244,백번 물어도 태국일 거 같아요.
6_35,그렇게 되면 너무 좋을 거 같아요.
6_45,하지만 마음속 한구석엔 순한 맛이 있습니다.
6_148,지난달에 받으러 갔는데 사람이 엄청 많더라고요.
6_158,지금 수업 다 비대면으로 듣고 계시나요?
6_189,재미를 가지다 보면 우리나라도 인기 있겠죠?
6_213,12월이면 단풍 구경은 끝날 거 같아요.
6_258,우연히 한번 가봤는데 생각보다 너무 좋았어요.
6_286,하고 싶은 거 원 없이 해서요.
6_292,여행 가서 맛있게 먹은 음식 있으세요?
6_296,그냥 그림만 보는 건 줄 알았거든요.
7_59,야구 오래 안 보셔서 모르는 얼굴이 많으시겠어요.
7_77,가보셨던 곳 중에 제일 좋았던 곳은 어딘가요?
7_111,장난감 도서관처럼 대여도 하긴 하는 거 같더라고요.
7_114,저도 운동으로 스트레스를 풀어야 할 것 같아요!
7_116,세상이 변하는 거에 맞게 변하는 거 같네요.
7_142,근데 맨날 할 때마다 노래를 틀어놓고 하거든요.
7_143,우유 마시면 속이 더 안 좋아지지 않나요?
7_145,근데 나 왠지 아는 사람일 거 같음.
7_146,저희 주차하러 가는 길인데 차가 너무 많네요.
7_159,일찍 일어나시면 하루가 엄청나게 길 것 같아요.
7_219,옛날에 캔디로만 먹었는데 실제 과일도 맛있긴 하더라고요.
7_235,한번 진하게 먹고 나면 돌아갈 수 없죠.
7_275,솔직히 좀 끼워 맞추기식 해석도 많긴 하죠.
8_25,전 오늘 진도가 너무 안 나가서 고전하고 있어요.
8_41,처음 들어봤는데 나중에 파는 곳 있으면 꼭 먹어볼게요.
8_58,해 먹긴 하는데 역시 사 먹는 게 최고예요!
8_109,평창 딱 한 번 가봤는데, 느긋하게 가보고 싶네요.
8_122,우리 집 원래 8시에서 9시 사이에 저녁 먹음.
8_144,유럽은 한 번도 못 가봤는데 볼 거 많죠?
8_204,근데 성취했을 때 보람이 또 클 것 같습니다.
8_206,맞벌이다 보니 핑계 겸 저도 자주 시켜 먹어요.
8_227,혼자 다녀도 위험하지 않고 뭔가 그냥 다 좋았어요.
8_236,이것도 둘 다 좋아하는데 밥보단 면을 더 좋아해요.
8_262,전 그래서 회사에 우산 여러 개 두고 다녀요.
9_12,맛집을 그렇게 다 기억해 대는 건 보통 머리가 아님.
9_43,코딩 동아리 했었는데 저는 그냥 놀기만 했던 것 같아요.
9_82,요즘 경력직들도 중고 신입으로 들어가서 자리가 없는 것 같아요.
9_93,그 매력에 한 번 빠지면 나오기 어려운 거 같아요.
9_118,근데 저 진짜 거의 유명한 건 다 본 사람이네요.
9_144,나도 친구가 요즘 고양이 키우는 거 보니까 좀 부럽더라.
9_150,점점 게을러져서 안 가기 시작했는데 운동하기 좋은 동기부여가 있을까요?
9_178,진짜 한번 먹어보고 싶었는데 너무 비싸서 엄두가 안 나더라.
9_179,많이 못 먹어서 소금 캐러멜 맛이 가장 입맛에 맞아요.
9_195,이것도 브랜드 차이가 있긴 한데 내가 먹은 건 그랬어.
9_218,그래서 한번 피 보고 그 뒤론 그렇게 안 했지.
9_236,약간 춥긴 한데 자주 안 챙기게 되는 것 같아요.
9_296,약간 편리하긴 한데 그 편리함을 위해 돈을 내기에는 아까워요.
