index,sentence
1_174,부끄럽대.
1_253,좋았죠.
1_275,뭐예요?
2_167,게임 좋아하시나요?
2_271,8시 시작해요?
2_290,챙겨보지 못했네요.
3_80,맛있는 거 드셨나요?
3_225,혹시 현질도 하시나요?
3_288,그나마 사람다운 월급이네요.
3_291,국내 여행은 어떠세요?
4_46,그러다 갑자기 확 추워졌네요.
4_281,올겨울쯤에는 먹을 수 있을까요?
4_289,맛있는데 잘 안 팔더라고요.
5_56,지금까진 그래도 여름이라 해변으로 갔었거든요.
5_77,저도 커피는 딱히 안 좋아해요.
5_88,저도 아침은 반드시 챙겨 먹습니다.
5_113,저는 한 번도 안 가봤어요!
5_126,오늘은 제발 사람 없었으면 좋겠다.
5_217,요즘 즐겨 듣는 음원 있으세요?
5_253,따로 봉사활동은 안 하고 있어요.
6_57,몇 살 때 학교를 빠지려고 하셨나요?
6_133,저는 실내 자전거만 매일 타고 있어요.
6_202,제가 향기 나는 꽃을 안 좋아함.
6_220,생크림 케이크 안 먹은 지도 오래되었어요.
6_248,새우는 어떻게 해도 맛있는 거 같아요.
6_275,주인공 때문에 봤는데 실화라 더 재밌더라고요.
7_107,내년 1월이면 우리 집에 온 지 1년째야.
7_197,친구들이 사는 거 보니까 엄청 좋아 보이더라고요.
7_199,해가 길어서 일단 돌아다니기가 좋은 거 같아요.
8_6,방콕 가보고 싶었는데 요즘은 국내 여행을 많이들 가더라고요.
8_160,그러다 보니 가을을 더 좋아하는 것일 수도 있겠네요.
9_9,오랜만에 가공 안 된 고기 먹는 거라 더 맛있었어요.
9_19,전 요즘 배달 음식도 자주 시켜 먹는 것 같아요!
9_21,저는 글램핑 좋아는 하는 데 많이 못 가봐서 부러워요.
9_54,오늘도 하루 무사히 잘 보내시고 좋은 하루 보내시길 바랄게요.
9_67,영화 제가 본지 오래돼서 내용이 잘 기억 안 나네요.
9_75,전 칭찬받는 거 좋아하는 사람이라 더 그런 거 같아요.
9_98,한입 물었을 때 쫀득한 그 느낌이 좋은 거 같아요.
9_139,저는 가족 중에 결제하는 사람이 있어서 따라 보고 있어요.
9_205,그렇긴 한데, 아르바이트생들도 많아서 재밌었고, 처음이라 그런지 기억에 남네요.
