index,sentence
2_39,정말 신선하네요.
2_281,진짜 맛있었어요.
2_143,기억에 남네요.
2_180,같이 볼래요?
2_108,10년 정도요.
2_296,그럼 유지해야겠네요.
2_94,뉴스에 나왔나요?
2_64,누구 좋아하셨어요?
2_165,안 더워?
2_8,게임은 몰라서요.
3_255,그럼 본가로 내려가?
3_209,옷 너무 비싸요.
3_276,그럴 거 같아.
3_246,그랬던 것 같아요.
3_105,근데 비주얼은 비슷해.
3_41,자주 가시나 봐요?
3_47,나이가 어떻게 되세요?
3_200,그때그때가 달라서 애매하네요.
3_14,명란젓 너무 좋지!
3_66,엄마가 왜 해줘?
4_24,그냥 딱 공휴일만 쉬네요.
4_258,이번 주부터 날씨가 추워진대요.
4_154,원래 꿈은 거창해야 해요.
4_251,빨리 집에 가고 싶다.
4_26,매년 더워지는 것 같죠?
4_58,진짜 그건 좀 대단하다.
4_49,갑작스러워서 준비도 못 했겠네요.
4_162,좋아하는데 계속 마시진 않아요.
4_75,저는 케이크 만들고 싶어요.
4_265,검은 옷이 더 덥네.
5_111,요즘 즐겨 하시는 취미 있으신가요?
5_112,거기 살면 또 다를 거야.
5_40,채널 많아지니 프로그램 많아져서 좋아요.
5_87,저도 여행은 많이 안 다녀봤어요.
5_4,은행 일은 잘 보고 있어요?
5_138,결국 오늘도 집에만 있게 됐어요.
5_185,그래도 마지막 마무리는 잘하고 가야지.
5_188,최근에는 직접 가서 본건 없어요.
5_127,결국 그렇게 느껴질 때가 있지.
5_240,최근에 책 보신 거 있으신가요?
