index,sentence
2_283,세탁기로 하셨나요?
2_242,저녁 드셨나?
2_188,여름휴가 다녀오셨나요?
2_171,사 먹어봐야겠어요.
2_117,다들 수도권이네요.
2_97,망고랑은 다릅니다.
2_140,엔도르핀 돌아요.
2_60,누군가는 가겠지?
2_69,그래서 운동은?
2_252,그때그때가 달라서요.
3_217,좋은 정보 많나요?
3_35,오늘 뭐 했어?
3_42,뭔가 매끈해 보이네?
3_140,그건 무슨 게임인가요?
3_82,거기 갔다고 들었어요.
3_288,그나마 사람다운 월급이네요.
3_80,맛있는 거 드셨나요?
3_134,다른 건가 봐요.
3_38,커피 잘 드시나요?
3_242,어떤 계절 좋아하세요?
4_91,너 나랑 좀 비슷하다?
4_236,패션이나 미용에 관심이 있으신가요??
4_287,난 제정신 아닌 듯.
4_65,그날이 하루빨리 왔으면 좋겠네요.
4_232,오늘 저녁에 계획 있으신가요?
4_56,안 가본데 가보고 싶어요.
4_146,동네 친구랑 단둘이 갑니다.
4_32,좋은 변화인 것 같아요.
4_51,점심 먹는 낙으로 살아갑니다.
4_280,피부 타입이 어떻게 되세요?
5_292,그러니까 화면이 안 꺼진다는 거지?
5_232,고층일수록 좀 시원한 거 같아요.
5_145,또 이런 거 나왔으면 좋겠다.
5_105,주량은 보통 어느 정도 되시나요?
5_18,비빔밥이 제일 건강해 보이긴 해!
5_39,오늘 저녁이나 오후에는 계획 있으신가요?
5_207,제법 그럴싸했는데 다 먹고 깨달았습니다.
5_237,근데 진짜 그런 거 같아.
5_259,딱히 먹고 싶은 건 없어요.
5_73,씻고 나오니까 너무 상쾌하고 좋아요!
