index,sentence
1_33,빠져들더라고요.
1_51,여쭤봐야겠네요.
1_69,나왔어.
1_78,어떡함?
1_86,결혼하셨나요?
1_97,언젠가는요.
1_103,엄청나네요!
1_143,그렇구나?
1_152,신기하네요.
1_175,2억이요?
1_188,훌륭하네요.
1_197,놀랍네요.
1_209,고생하시네요.
1_213,똑같네요.
1_253,좋았죠.
1_263,어떻게요?
1_275,뭐예요?
1_279,예전부터?
2_20,언젠가는 가겠어!
2_21,자신이 없네요.
2_39,정말 신선하네요.
2_47,토마토 좋아하시는군요!
2_62,어디가 필요하신가요?
2_63,좀 남았을걸?
2_100,얼마나 하나요?
2_118,장난 아니더라고요.
2_132,봉사해 보셨나요?
2_164,지금 방학이야?
2_169,많이 들어봤어요.
2_172,최근에 쇼핑하셨나요?
2_173,다들 조심하세요.
2_183,이러지 않을까?
2_189,그거 보셨군요?
2_203,스쿼시 배웠어요.
2_224,진짜 비싸네요.
2_225,오전에 왔었어요?
2_277,원피스 예뻐요?
3_38,커피 잘 드시나요?
3_63,어제저녁에는 뭐 드셨나요?
3_81,빨래가 안 마르네요.
3_90,귀여울 것 같아요.
3_104,집안일은 많이 도와주시나요?
3_153,한 번에 맞췄나요?
3_190,오랜만에 먹었더니 맛있네요.
3_195,저 안 먹어봤어요.
3_222,어떤 고기 좋아하세요?
3_254,먹는 낙으로 살아요.
3_265,누구 콘서트가 보셨어요?
4_7,저도 그런 거 있어요.
4_16,저 부산 처음 가봐요.
4_26,매년 더워지는 것 같죠?
4_53,요즘 애들 빠르긴 해요.
4_66,근데 나보다 일찍 입사했지.
4_70,거울은 어떤 거 사셨나요?
4_79,내 말이 그 말이지.
4_80,적당히 소음이 있어야 해요.
4_102,이따 퇴근하고 사 먹어야겠다.
4_147,난 그 정도는 아니었어.
4_175,월요일 오전이라 진짜 정신없네요.
4_196,근데 너무 비싸긴 하더라.
4_263,가고 싶은 데는 많죠.
4_271,저도 그 정도 되네요.
5_1,나도 일곱 시에 일어나서 운동하려고.
5_8,가끔 한 발로 서있기도 하고요.
5_10,오늘 비 엄청 많이 오더라.
5_50,그거만 아니면 참 좋을 텐데요.
5_69,스트레스도 풀리고 좋은 점이 있죠.
5_99,추천해 줄 만한 소설 있나요?
5_103,집에선 주로 어떤 거 하세요?
5_133,기념품이나 커피 같은 것도 팔았네요.
5_138,결국 오늘도 집에만 있게 됐어요.
5_199,저는 유럽 쪽 가고 싶어요.
5_201,아내가 집에 없어서 보러 가려고요.
5_229,냉장고는 진짜 다다익선인 거 같아요.
5_249,용량 큰 게 좋다고 하더라고요.
5_251,저는 좀 더 기다렸다 들어가야겠어요.
5_258,몇 분이 같이 살았던 거예요?
5_271,만약 사게 되면 너도 써볼래?
5_291,저는 일반 사무직 일하고 있어요!
6_9,1인 가구엔 더 좋을 거 같아요.
6_16,쌀국수 국물에 밥도 은근히 잘 어울려요.
6_53,처음 먹을 때 좀 효과 있어요.
6_75,시간이 늦었는데 혹시 야식 먹고 있나요?
6_93,성격도 좋고 외모도 좋으면 최고긴 하지.
6_101,예전에는 좀 그런 게 없었나 봐.
6_126,나도 매일 뭐가 오니까 미안하긴 하던데.
6_140,뭐 스포츠 즐겨 보시는 것 있나요?
6_141,좋아하는데 기회가 없어서 별로 못 가봤어요.
6_154,근데 한도 끝도 없이 상냥하고 가정적임.
6_159,꿉꿉해서 제습기 돌리고 에어컨 틀고 했네요.
6_163,나도 가고 싶었는데 일하느라 못 갔어.
6_164,당이 떨어지시면 일단 무리하는 걸 조심하셔야겠어요.
6_172,저는 그거 며칠 전에 다 봤어요.
6_206,저는 여행을 별로 다녀본 적이 없어서요!
6_213,12월이면 단풍 구경은 끝날 거 같아요.
6_220,생크림 케이크 안 먹은 지도 오래되었어요.
6_250,저는 저번에 웰시코기 봤는데 너무 귀엽더라고요.
6_252,오늘 데이트로 영화 보러 갈 거야.
6_256,근데 직접 가야 해서 좀 고민이에요.
6_264,내일 일찍 일어나야 하는 거 알지?
6_265,잘 마시진 않고 소주 2병 정도?
6_288,그럼 더 선호하거나 잘하는 포지션은 무엇인가요?
6_295,저도 어디서 본 것 같긴 하네요.
7_2,아무래도 장기 적금이라고 생각해야 할 것 같아요.
7_22,나중에 절 갈 일이 생기면 꼭 참고해야겠어요.
7_45,두세 시간은 아낄 수 있을 거 같아요.
7_67,그 특유 느낌이 좋아서 듣는 거긴 하지만요.
7_77,가보셨던 곳 중에 제일 좋았던 곳은 어딘가요?
7_106,근데 솔직히 따지자면 지금은 조금 이르지 않아?
7_114,저도 운동으로 스트레스를 풀어야 할 것 같아요!
7_120,프로그램 보고 너무 괜찮다고 느꼈는데 진짜 멋지다.
7_129,사실 애가 없었으면 이렇게까지 안 했을 거예요.
7_141,내 입장에서 보면 그럴 수 있다고 생각했겠지.
7_173,심심할 때 한 개씩 집어먹는 재미가 있어요.
7_210,그렇진 않은데 주위 보면 다들 챙겨 먹더라고요.
7_220,아직 막 그렇게 자세하게는 얘기한 적은 없어요!
7_241,대학에서 만난 사람 중에 특이한 사람은 없어?
7_247,간단한 인문학 도서도 읽긴 한데 대부분 소설책이죠.
8_9,저는 식물을 사본 적이 없어서 가격을 잘 몰라요.
8_25,전 오늘 진도가 너무 안 나가서 고전하고 있어요.
8_26,요즘 별 희한한 게 다 있는 거 같아요.
8_45,저도 게임은 별로 안 하는데 유일하게 한 게임이에요.
8_48,저는 두 개 먹을 수 있을 거 같아요.
8_52,혼자 나가서 살까 하다가도 월세 생각해서 꾹 참는다죠.
